index,disease,symptoms,tests,medications
0,Panic disorder,"['Anxiety and nervousness', 'Depression', 'Shortness of breath', 'Depressive or psychotic symptoms', 'Sharp chest pain', 'Dizziness', 'Insomnia', 'Abnormal involuntary movements', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Breathing fast']","['Psychotherapy', 'Mental health counseling', 'Electrocardiogram', 'Depression screen (Depression screening)', 'Toxicology screen', 'Psychological and psychiatric evaluation and therapy']","['Lorazepam', 'Alprazolam (Xanax)', 'Clonazepam', 'Paroxetine (Paxil)', 'Venlafaxine (Effexor)', 'Mirtazapine', 'Buspirone (Buspar)', 'Fluvoxamine (Luvox)', 'Imipramine', 'Desvenlafaxine (Pristiq)', 'Clomipramine', 'Acamprosate (Campral)']"
1,Vocal cord polyp,"['Hoarse voice', 'Sore throat', 'Difficulty speaking', 'Cough', 'Nasal congestion', 'Throat swelling', 'Diminished hearing', 'Lump in throat', 'Throat feels tight', 'Difficulty in swallowing', 'Skin swelling', 'Retention of urine']","['Tracheoscopy and laryngoscopy with biopsy', 'Occupational therapy assessment (Speech therapy)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Physical therapy exercises (Exercises)', 'Diagnostic procedures on nose; mouth and pharynx', 'Other physical therapy and rehabilitation', 'Ophthalmologic and otologic diagnosis and treatment']","['Esomeprazole (Nexium)', 'Beclomethasone Nasal Product', 'Nicotine', 'Azelastine Nasal', 'Phenylephrine (Duramax)', 'Rabeprazole (Aciphex)', 'Vinorelbine (Navelbine)', 'Vitamin A', 'Adalimumab (Humira)', 'Rituximab']"
2,Turner syndrome,"['Groin mass', 'Leg pain', 'Hip pain', 'Suprapubic pain', 'Blood in stool', 'Lack of growth', 'Diminished hearing', 'Depression', 'Emotional symptoms', 'Elbow weakness', 'Back weakness', 'Pus in sputum']","['Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Echocardiography', 'Depression screen (Depression screening)', 'Examination of breast', 'Ophthalmologic and otologic diagnosis and treatment']","['Somatropin', 'Sulfamethoxazole (Bactrim)', 'Pimecrolimus Topical', 'Hyoscyamine (A-Spas)', 'Ortho Cyclen', 'Carbamazepine', 'Ascorbic Acid', 'Nystatin Topical Product', 'Phenazopyridine (Azo)', 'Nifedipine']"
3,Cryptorchidism,"['Symptoms of the scrotum and testes', 'Swelling of scrotum', 'Pain in testicles', 'Flatulence', 'Pus draining from ear', 'Jaundice', 'Mass in scrotum', 'Lack of growth', 'White discharge from eye', 'Irritable infant']","['Complete physical skin exam performed (ML)', 'Ultrasonography (Ultrasound)', 'Pelvis exam', 'Rectal examination', 'Other OR therapeutic procedures; male genital', 'Other OR therapeutic nervous system procedures', 'Occupational therapy assessment (Speech therapy)']","['Haemophilus B Conjugate Vaccine (Obsolete)', 'Hepatitis B Vaccine (Obsolete)', 'Rotavirus Vaccines (Rotavirus Vaccine)', 'Desoximetasone Topical']"
4,Poisoning due to ethylene glycol,"['Abusing alcohol', 'Fainting', 'Hostile behavior', 'Drug abuse', 'Depressive or psychotic symptoms', 'Sharp abdominal pain', 'Feeling ill', 'Vomiting', 'Headache', 'Depression', 'Nausea', 'Diarrhea']","['Intravenous fluid replacement', 'Hematologic tests (Blood test)', 'Toxicology screen', 'Complete blood count (Cbc)', 'Electrocardiogram', 'Glucose measurement (Glucose level)', 'Blood alcohol']","['Lorazepam', 'Thiamine', 'Naloxone (Suboxone)', 'Charcoal', 'Folic Acid', 'Famotidine', 'Haloperidol', 'Acetylcysteine', 'Trimethobenzamide (Tigan)', 'Magnesium Sulfate', 'Olanzapine (Zyprexa)']"
5,Atrophic vaginitis,"['Vaginal itching', 'Vaginal dryness', 'Painful urination', 'Involuntary urination', 'Pain during intercourse', 'Frequent urination', 'Lower abdominal pain', 'Suprapubic pain', 'Vaginal discharge', 'Blood in urine', 'Hot flashes', 'Intermenstrual bleeding']","['Pelvis exam', 'Examination of breast', 'Urinalysis', 'Mammography (Mammogram)', 'Rectal examination', 'Complete physical skin exam performed (ML)', 'Pap smear']","['Estrogens, Conjugated (Usp) (Premarin)', 'Estradiol', 'Nitrofurantoin', 'Raloxifene (Evista)', 'Oxybutynin', 'Tolterodine (Detrol)', 'Progesterone', 'Solifenacin (Vesicare)', 'Risedronate (Actonel)', 'Calcium Citrate', 'Betamethasone-Clotrimazole Topical']"
6,Fracture of the hand,"['Hand or finger pain', 'Wrist pain', 'Hand or finger swelling', 'Arm pain', 'Wrist swelling', 'Arm stiffness or tightness', 'Arm swelling', 'Hand or finger stiffness or tightness', 'Wrist stiffness or tightness']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Application of splint (Splinting)', 'Orthopedic casting', 'Traction; splints; and other wound care', 'Physical therapy exercises (Exercises)', 'Other non-OR therapeutic procedures on musculoskeletal system']","['Carteolol', 'Disopyramide']"
7,Cellulitis or abscess of mouth,"['Lip swelling', 'Sore throat', 'Toothache', 'Abnormal appearing skin', 'Skin lesion', 'Difficulty in swallowing', 'Acne or pimples', 'Dry lips', 'Facial pain', 'Mouth ulcer', 'Throat swelling', 'Skin growth']","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Incision and drainage (I d)', 'Biopsy', 'Wound care management', 'Culture wound', 'Other OR therapeutic procedures on nose; mouth and pharynx']","['Clindamycin', 'Dexamethasone Topical Product', 'Penicillin', 'Rivastigmine (Exelon)', 'Chlorhexidine Topical', 'Petrolatum Topical', 'Docosanol Topical', 'Sertaconazole Topical', 'Oxaprozin', 'Hydrocortisone-Iodoquinol Topical', 'Retapamulin Topical']"
8,Eye alignment disorder,"['Eye deviation', 'Diminished vision', 'Double vision', 'Cross-eyed', 'Symptoms of eye', 'Pain in eye', 'Eye moves abnormally', 'Abnormal movement of eyelid', 'Foreign body sensation in eye', 'Lack of growth', 'Irregular appearing scalp', 'Swollen lymph nodes']","['Ophthalmologic and otologic diagnosis and treatment', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Other therapeutic procedures', 'Ophthalmic examination and evaluation (Eye exam)', 'Other extraocular muscle and orbit therapeutic procedures', 'Occupational therapy assessment (Speech therapy)']","['Atropine (Uaa)', 'Phenylephrine (Duramax)', 'Cyclopentolate Ophthalmic', 'Tropicamide Ophthalmic', 'Dexamethasone-Tobramycin Ophthalmic', 'Methazolamide (Mzm)', 'Fluorescein', 'Orlistat (Alli)', 'Colloidal Oatmeal Topical', 'Benzylpenicilloyl Polylysine (Pre-Pen)']"
9,Headache after lumbar puncture,"['Headache', 'Nausea', 'Back pain', 'Vomiting', 'Dizziness', 'Neck pain', 'Low back pain', 'Pain of the anus', 'Pain during pregnancy', 'Painful urination', 'Pelvic pain', 'Impotence']","['Intravenous fluid replacement', 'Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)', 'Liver function tests (Liver test)']","['Hydromorphone (Dilaudid)', 'Caffeine', 'Prochlorperazine (Compro)', 'Midazolam (Versed)', 'Caffeine-Sodium Benzoate', 'Zidovudine', 'Zolmitriptan (Zomig)', 'Dexamethasone-Tobramycin Ophthalmic']"
